ID,Type,SKU,Name,Published,Featured,Catalog visibility,Short description,Description,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (kg),Sale price,Regular price,Categories,Tags,Position
,simple,MAL-020,Blow Job Simulator | 口交模拟器,1,0,visible,Electric blow job simulator | 电动口交模拟器,Suction vibration combination,taxable,,1,99,0,0,0.20,159.00,219.00,Male Toys | 男性玩具,mal-020,119
,simple,CPL-001,Couples Vibrator Set | 情侣震动套装,1,0,visible,Wearable couples vibrator | 可穿戴情侣震动器,Simultaneous pleasure app controlled,taxable,,1,99,0,0,0.20,159.00,219.00,Couples Toys | 情侣玩具,cpl-001,120
,simple,CPL-002,Remote Control Egg | 远程遥控跳蛋,1,0,visible,Long-distance app control egg | 远程APP控制跳蛋,Works anywhere in world,taxable,,1,99,0,0,0.20,119.00,169.00,Couples Toys | 情侣玩具,cpl-002,121
,simple,CPL-003,Couples Massage Kit | 情侣按摩套装,1,0,visible,Sensual massage kit for couples | 情侣感官按摩套装,Oils candles massager included,taxable,,1,99,0,0,0.20,89.00,129.00,Couples Toys | 情侣玩具,cpl-003,122
,simple,CPL-004,Double Ended Strap-On | 双头穿戴式,1,0,visible,Strapless double dildo | 无绑带双头假阳具,For same-sex couples,taxable,,1,99,0,0,0.20,149.00,199.00,Couples Toys | 情侣玩具,cpl-004,123
,simple,CPL-005,Dice Game Set | 骰子游戏套装,1,0,visible,Sexy dice game for couples | 情侣性爱骰子游戏,Foreplay activity dice,taxable,,1,99,0,0,0.20,19.00,35.00,Couples Toys | 情侣玩具,cpl-005,124
,simple,CPL-006,Blindfold Feather Set | 眼罩羽毛套装,1,0,visible,Sensory play starter kit | 感官游戏入门套装,Blindfold tickler dice,taxable,,1,99,0,0,0.20,39.00,59.00,Couples Toys | 情侣玩具,cpl-006,125
,simple,CPL-007,Couples Restraint Kit | 情侣束缚套装,1,0,visible,Beginner bondage for couples | 情侣新手束缚套装,Cuffs blindfold rope,taxable,,1,99,0,0,0.20,99.00,149.00,Couples Toys | 情侣玩具,cpl-007,126
,simple,CPL-008,Vibrating Cock Ring | 震动阴茎环,1,0,visible,Couples vibrating cock ring | 情侣震动阴茎环,Stimulates both during intercourse,taxable,,1,99,0,0,0.20,59.00,89.00,Couples Toys | 情侣玩具,cpl-008,127
,simple,CPL-009,Position Pillow | 体位辅助枕,1,0,visible,Liberator-style position pillow | 体位辅助枕,Multiple positions support,taxable,,1,99,0,0,0.20,99.00,149.00,Couples Toys | 情侣玩具,cpl-009,128
,simple,CPL-010,Massage Candle Set | 按摩蜡烛套装,1,0,visible,Scented massage candle set | 香氛按摩蜡烛套装,Low temp body-safe wax,taxable,,1,99,0,0,0.20,49.00,79.00,Couples Toys | 情侣玩具,cpl-010,129
,simple,CPL-011,Couples Game Cards | 情侣游戏卡,1,0,visible,Adult couples game card set | 成人情侣游戏卡套装,100 cards foreplay ideas,taxable,,1,99,0,0,0.20,29.00,45.00,Couples Toys | 情侣玩具,cpl-011,130
,simple,CPL-012,Dual Stimulation Ring | 双重刺激环,1,0,visible,Dual stimulation couples ring | 双重刺激情侣环,His and hers vibration,taxable,,1,99,0,0,0.20,79.00,119.00,Couples Toys | 情侣玩具,cpl-012,131
,simple,CPL-013,Strap-On Kit Couples | 情侣穿戴套装,1,0,visible,Complete strap-on kit couples | 完整情侣穿戴套装,Harness 2 dildos vibrator,taxable,,1,99,0,0,0.20,249.00,349.00,Couples Toys | 情侣玩具,cpl-013,132
,simple,CPL-014,Cock Ring Vibrator Set | 震动环套装,1,0,visible,Vibrating ring set couples | 情侣震动环套装,3 rings 3 vibrators,taxable,,1,99,0,0,0.20,89.00,129.00,Couples Toys | 情侣玩具,cpl-014,133
,simple,CPL-015,Couple Fantasy Kit | 情侣幻想套装,1,0,visible,Fantasy role play kit | 情侣角色扮演套装,Costumes accessories scenario cards,taxable,,1,99,0,0,0.20,79.00,119.00,Couples Toys | 情侣玩具,cpl-015,134
,simple,CPL-016,Wireless Vibrating Panty | 无线震动内裤,1,0,visible,App-controlled vibrating panty | APP控制震动内裤,Long distance relationship toy,taxable,,1,99,0,0,0.20,119.00,169.00,Couples Toys | 情侣玩具,cpl-016,135
,simple,CPL-017,Erotic Board Game | 情色桌游,1,0,visible,Adult erotic board game | 成人情色桌游,For 2 players foreplay,taxable,,1,99,0,0,0.20,59.00,89.00,Couples Toys | 情侣玩具,cpl-017,136
,simple,CPL-018,Tantus Silicone Set | 情侣硅胶套装,1,0,visible,Premium silicone couples set | 优质硅胶情侣套装,2 vibrators lubricant,taxable,,1,99,0,0,0.20,169.00,229.00,Couples Toys | 情侣玩具,cpl-018,137
,simple,CPL-019,Mutual Masturbator | 相互自慰套装,1,0,visible,Couples mutual masturbation toy | 情侣相互自慰玩具,Synchronized sensation,taxable,,1,99,0,0,0.20,189.00,259.00,Couples Toys | 情侣玩具,cpl-019,138
,simple,CPL-020,Date Night Box | 约会夜礼盒,1,0,visible,Romantic couples gift box | 浪漫情侣礼盒,Curated intimacy products,taxable,,1,99,0,0,0.20,149.00,199.00,Couples Toys | 情侣玩具,cpl-020,139
,simple,LUB-001,Water-Based Lube | 水基润滑液,1,0,visible,Premium water-based lubricant | 优质水基润滑液,Compatible all toys condoms,taxable,,1,99,0,0,0.20,29.00,45.00,Lubricants & Massage | 润滑油按摩,lub-001,140
,simple,LUB-002,Silicone Lube | 硅基润滑液,1,0,visible,Long-lasting silicone lubricant | 持久硅基润滑液,Water resistant long lasting,taxable,,1,99,0,0,0.20,39.00,59.00,Lubricants & Massage | 润滑油按摩,lub-002,141
,simple,LUB-003,Warming Lube | 温感润滑液,1,0,visible,Warming sensation lubricant | 温感润滑液,Heats on contact body-safe,taxable,,1,99,0,0,0.20,35.00,55.00,Lubricants & Massage | 润滑油按摩,lub-003,142
,simple,LUB-004,Cooling Lube | 清凉润滑液,1,0,visible,Cooling sensation lubricant | 清凉润滑液,Minty cool sensation,taxable,,1,99,0,0,0.20,35.00,55.00,Lubricants & Massage | 润滑油按摩,lub-004,143
,simple,LUB-005,Anal Lube | 肛门润滑液,1,0,visible,Thick anal lubricant formula | 浓稠肛门润滑液,Extra thick numbing optional,taxable,,1,99,0,0,0.20,39.00,59.00,Lubricants & Massage | 润滑油按摩,lub-005,144
,simple,LUB-006,Flavored Lube | 调味润滑液,1,0,visible,Flavored edible lubricant | 调味可食用润滑液,Strawberry cherry vanilla,taxable,,1,99,0,0,0.20,29.00,45.00,Lubricants & Massage | 润滑油按摩,lub-006,145
,simple,LUB-007,Organic Lube | 有机润滑液,1,0,visible,Organic natural lubricant | 有机天然润滑液,Aloe vera based vegan,taxable,,1,99,0,0,0.20,45.00,69.00,Lubricants & Massage | 润滑油按摩,lub-007,146
,simple,LUB-008,Massage Oil Set | 按摩油套装,1,0,visible,Sensual massage oil set | 感官按摩油套装,3 scents warming effect,taxable,,1,99,0,0,0.20,59.00,89.00,Lubricants & Massage | 润滑油按摩,lub-008,147
,simple,LUB-009,Delay Gel | 延时凝胶,1,0,visible,Male delay performance gel | 男性延时凝胶,Lidocaine formula,taxable,,1,99,0,0,0.20,35.00,55.00,Lubricants & Massage | 润滑油按摩,lub-009,148
,simple,LUB-010,Arousal Serum | 唤醒精华液,1,0,visible,Female arousal enhancement serum | 女性唤醒增强精华,Tingling warming sensation,taxable,,1,99,0,0,0.20,49.00,79.00,Lubricants & Massage | 润滑油按摩,lub-010,149
,simple,LUB-011,CBD Lube | CBD润滑液,1,0,visible,CBD-infused lubricant | 注入CBD润滑液,Relaxing intimate wellness,taxable,,1,99,0,0,0.20,69.00,99.00,Lubricants & Massage | 润滑油按摩,lub-011,150
,simple,LUB-012,Toy Cleaner | 玩具清洁剂,1,0,visible,Sex toy cleaner spray | 性玩具清洁喷雾,Anti-bacterial gentle formula,taxable,,1,99,0,0,0.20,19.00,35.00,Lubricants & Massage | 润滑油按摩,lub-012,151
,simple,LUB-013,Lube Shooter | 润滑液注射器,1,0,visible,Lube launcher applicator | 润滑液发射器应用器,For anal internal application,taxable,,1,99,0,0,0.20,25.00,39.00,Lubricants & Massage | 润滑油按摩,lub-013,152
,simple,LUB-014,Massage Candle | 按摩蜡烛,1,0,visible,Body-safe massage candle | 人体安全按摩蜡烛,Low melt point pour on skin,taxable,,1,99,0,0,0.20,35.00,55.00,Lubricants & Massage | 润滑油按摩,lub-014,153
,simple,LUB-015,Performance Enhancer | 性能增强剂,1,0,visible,Male enhancement topical gel | 男性外用增强凝胶,Increased sensitivity formula,taxable,,1,99,0,0,0.20,55.00,79.00,Lubricants & Massage | 润滑油按摩,lub-015,154
,simple,LUB-016,Feminine Wash | 私处清洁液,1,0,visible,pH-balanced intimate wash | pH平衡私处清洁液,Gentle daily use,taxable,,1,99,0,0,0.20,25.00,39.00,Lubricants & Massage | 润滑油按摩,lub-016,155
,simple,LUB-017,Pheromone Spray | 费洛蒙喷雾,1,0,visible,Pheromone-infused body spray | 费洛蒙喷雾,Attraction enhancement,taxable,,1,99,0,0,0.20,45.00,69.00,Lubricants & Massage | 润滑油按摩,lub-017,156
,simple,LUB-018,Hybrid Lube | 混合润滑液,1,0,visible,Water-silicone hybrid lube | 水硅混合润滑液,Best of both worlds,taxable,,1,99,0,0,0.20,39.00,59.00,Lubricants & Massage | 润滑油按摩,lub-018,157
,simple,LUB-019,Lube Pillow Pack | 小包装润滑液,1,0,visible,Travel size lube sachets | 旅行装润滑液小包,10 single-use sachets,taxable,,1,99,0,0,0.20,19.00,29.00,Lubricants & Massage | 润滑油按摩,lub-019,158
,simple,LUB-020,Luxury Massage Set | 豪华按摩套装,1,0,visible,Luxury sensual massage set | 豪华感官按摩套装,Oils rollers stones candles,taxable,,1,99,0,0,0.20,99.00,149.00,Lubricants & Massage | 润滑油按摩,lub-020,159
,simple,FUR-001,Wedge Ramp Set | 楔形斜坡套装,1,0,visible,Liberator wedge ramp set | 楔形斜坡套装,2 piece positioning set,taxable,,1,99,0,0,0.20,199.00,279.00,Sex Furniture | 情趣家具,fur-001,160
,simple,FUR-002,Bondage Board | 束缚板,1,0,visible,Wooden bondage board | 木制束缚板,With restraint points,taxable,,1,99,0,0,0.20,299.00,399.00,Sex Furniture | 情趣家具,fur-002,161
,simple,FUR-003,Love Swing | 情趣秋千,1,0,visible,Adjustable sex swing | 可调节情趣秋千,Door mount 300lb capacity,taxable,,1,99,0,0,0.20,149.00,219.00,Sex Furniture | 情趣家具,fur-003,162
,simple,FUR-004,Position Pillow | 体位枕,1,0,visible,Firm position support pillow | 坚实体位支撑枕,Waterproof cover washable,taxable,,1,99,0,0,0.20,89.00,139.00,Sex Furniture | 情趣家具,fur-004,163
,simple,FUR-005,Sex Machine | 性爱机器,1,0,visible,Automatic thrusting machine | 自动抽插机器,Multiple attachments variable speed,taxable,,1,99,0,0,0.20,499.00,699.00,Sex Furniture | 情趣家具,fur-005,164
,simple,FUR-006,Inflatable Love Doll | 充气娃娃,1,0,visible,Realistic inflatable love doll | 逼真充气娃娃,Life-size vinyl material,taxable,,1,99,0,0,0.20,99.00,149.00,Sex Furniture | 情趣家具,fur-006,165
,simple,FUR-007,Sybian Style Saddle | 骑乘式震动器,1,0,visible,Ride-on saddle massager | 骑乘式按摩器,Multiple attachments powerful,taxable,,1,99,0,0,0.20,399.00,549.00,Sex Furniture | 情趣家具,fur-007,166
,simple,FUR-008,Portable Sling | 便携式吊带,1,0,visible,Portable bed restraint sling | 便携床上束缚吊带,No drilling required,taxable,,1,99,0,0,0.20,169.00,239.00,Sex Furniture | 情趣家具,fur-008,167
,simple,FUR-009,Spinning Chair | 旋转椅,1,0,visible,Erotic spinning chair | 情趣旋转椅,360 rotation padded,taxable,,1,99,0,0,0.20,249.00,349.00,Sex Furniture | 情趣家具,fur-009,168
,simple,FUR-010,Bondage Bed Frame | 束缚床架,1,0,visible,Restraint-ready bed frame | 束缚就绪床架,Multiple attachment points,taxable,,1,99,0,0,0.20,599.00,799.00,Sex Furniture | 情趣家具,fur-010,169
,simple,FUR-011,Floor Mat Set | 地垫套装,1,0,visible,Cushioned floor play mat | 缓冲地垫,Waterproof easy clean,taxable,,1,99,0,0,0.20,79.00,119.00,Sex Furniture | 情趣家具,fur-011,170
,simple,FUR-012,Adjustable Bench | 可调节长凳,1,0,visible,Padded adjustable bondage bench | 加衬可调节束缚凳,Multiple positions,taxable,,1,99,0,0,0.20,349.00,499.00,Sex Furniture | 情趣家具,fur-012,171
,simple,FUR-013,Door Swing Kit | 门上秋千套装,1,0,visible,Over-door sex swing kit | 门上情趣秋千套装,Easy install straps,taxable,,1,99,0,0,0.20,99.00,149.00,Sex Furniture | 情趣家具,fur-013,172
,simple,FUR-014,Tantric Chair | 密宗椅,1,0,visible,Tantric position chair | 密宗体位椅,Curved ergonomic design,taxable,,1,99,0,0,0.20,299.00,429.00,Sex Furniture | 情趣家具,fur-014,173
,simple,FUR-015,Love Lounger | 情趣躺椅,1,0,visible,Inflatable love lounger | 充气情趣躺椅,Waterproof holds 250kg,taxable,,1,99,0,0,0.20,149.00,219.00,Sex Furniture | 情趣家具,fur-015,174
,simple,FUR-016,Harness Sling | 绑带吊带,1,0,visible,Full body harness sling | 全身绑带吊带,Adjustable mounting,taxable,,1,99,0,0,0.20,199.00,279.00,Sex Furniture | 情趣家具,fur-016,175
,simple,FUR-017,Thrusting Machine Kit | 抽插机套装,1,0,visible,Portable thrusting machine kit | 便携抽插机套装,Multiple attachments carry bag,taxable,,1,99,0,0,0.20,349.00,479.00,Sex Furniture | 情趣家具,fur-017,176
,simple,FUR-018,Balance Ball Chair | 平衡球椅,1,0,visible,Sensual balance ball chair | 感官平衡球椅,Anti-burst with accessories,taxable,,1,99,0,0,0.20,89.00,129.00,Sex Furniture | 情趣家具,fur-018,177
,simple,FUR-019,Couples Yoga Mat | 情侣瑜伽垫,1,0,visible,Extra-wide couples yoga mat | 超宽情侣瑜伽垫,Position guide printed,taxable,,1,99,0,0,0.20,59.00,89.00,Sex Furniture | 情趣家具,fur-019,178
,simple,FUR-020,Deluxe Room Kit | 豪华房间套装,1,0,visible,Complete bedroom accessories kit | 完整卧室配件套装,Swing sling machine package,taxable,,1,99,0,0,0.20,999.00,1399.00,Sex Furniture | 情趣家具,fur-020,179
,simple,SDL-001,TPE Mini Sex Doll | TPE迷你实体娃娃,1,0,visible,Compact TPE mini love doll | 紧凑型TPE迷你娃娃,60cm lightweight portable,taxable,,1,99,0,0,0.20,599.00,799.00,Sex Dolls | 实体娃娃,sdl-001,180
,simple,SDL-002,Realistic Torso Doll | 逼真躯干娃娃,1,0,visible,Realistic upper body torso | 逼真上半身躯干,Breast vagina dual entry,taxable,,1,99,0,0,0.20,299.00,449.00,Sex Dolls | 实体娃娃,sdl-002,181
,simple,SDL-003,Full Size TPE Doll | 全尺寸TPE娃娃,1,0,visible,Full size TPE sex doll | 全尺寸TPE实体娃娃,158cm removable head,taxable,,1,99,0,0,0.20,1599.00,2199.00,Sex Dolls | 实体娃娃,sdl-003,182
,simple,SDL-004,Silicone Head Upgrade | 硅胶头部升级,1,0,visible,Premium silicone doll head | 优质硅胶娃娃头,Realistic features oral function,taxable,,1,99,0,0,0.20,399.00,549.00,Sex Dolls | 实体娃娃,sdl-004,183
,simple,SDL-005,Male Sex Doll Torso | 男性躯干娃娃,1,0,visible,Male torso with penis | 带阴茎男性躯干,TPE realistic texture,taxable,,1,99,0,0,0.20,349.00,499.00,Sex Dolls | 实体娃娃,sdl-005,184
,simple,SDL-006,Anime Sex Doll | 动漫实体娃娃,1,0,visible,Anime-style character doll | 动漫角色娃娃,Big eyes petite figure,taxable,,1,99,0,0,0.20,899.00,1299.00,Sex Dolls | 实体娃娃,sdl-006,185
,simple,SDL-007,WM Doll Series | WM娃娃系列,1,0,visible,Premium WM brand sex doll | 优质WM品牌娃娃,Articulated skeleton poseable,taxable,,1,99,0,0,0.20,2999.00,3999.00,Sex Dolls | 实体娃娃,sdl-007,186
,simple,SDL-008,Heating Doll System | 加热娃娃系统,1,0,visible,Built-in heating system doll | 内置加热系统娃娃,Warms to body temperature,taxable,,1,99,0,0,0.20,1899.00,2599.00,Sex Dolls | 实体娃娃,sdl-008,187
,simple,SDL-009,Flat Chest Petite Doll | 平胸小巧娃娃,1,0,visible,Petite flat chest doll | 平胸小巧娃娃,Lightweight portable TPE,taxable,,1,99,0,0,0.20,799.00,1099.00,Sex Dolls | 实体娃娃,sdl-009,188
,simple,SDL-010,Big Breast Doll | 大胸娃娃,1,0,visible,Large breast sex doll | 大胸实体娃娃,Soft jiggly breasts TPE,taxable,,1,99,0,0,0.20,1299.00,1799.00,Sex Dolls | 实体娃娃,sdl-010,189
,simple,SDL-011,Elf Fantasy Doll | 精灵幻想娃娃,1,0,visible,Fantasy elf character doll | 幻想精灵角色娃娃,Pointed ears fantasy design,taxable,,1,99,0,0,0.20,1099.00,1499.00,Sex Dolls | 实体娃娃,sdl-011,190
,simple,SDL-012,Pregnant Belly Doll | 孕肚娃娃,1,0,visible,Pregnant belly style doll | 孕肚造型娃娃,Unique fantasy design,taxable,,1,99,0,0,0.20,1199.00,1649.00,Sex Dolls | 实体娃娃,sdl-012,191
,simple,SDL-013,Muscular Male Doll | 肌肉男性娃娃,1,0,visible,Muscular male sex doll | 肌肉男性实体娃娃,Full size articulated,taxable,,1,99,0,0,0.20,1799.00,2499.00,Sex Dolls | 实体娃娃,sdl-013,192
,simple,SDL-014,AI Interactive Doll | AI互动娃娃,1,0,visible,AI-integrated interactive doll | AI集成互动娃娃,Voice responsive expression,taxable,,1,99,0,0,0.20,3999.00,5499.00,Sex Dolls | 实体娃娃,sdl-014,193
,simple,SDL-015,Doll Clothing Set | 娃娃服装套装,1,0,visible,Sex doll wardrobe set | 实体娃娃服装套装,10 outfits accessories,taxable,,1,99,0,0,0.20,99.00,149.00,Sex Dolls | 实体娃娃,sdl-015,194
,simple,SDL-016,Doll Cleaning Kit | 娃娃清洁套装,1,0,visible,Complete doll care kit | 完整娃娃护理套装,Renewal powder cleaner tools,taxable,,1,99,0,0,0.20,49.00,79.00,Sex Dolls | 实体娃娃,sdl-016,195
,simple,SDL-017,Standing Feet Upgrade | 站立脚升级,1,0,visible,Standing feet option upgrade | 站立脚选项升级,Allows freestanding pose,taxable,,1,99,0,0,0.20,99.00,149.00,Sex Dolls | 实体娃娃,sdl-017,196
,simple,SDL-018,Doll Storage Bag | 娃娃储存袋,1,0,visible,Discreet doll storage bag | 隐秘娃娃储存袋,Carry bag hanging system,taxable,,1,99,0,0,0.20,79.00,119.00,Sex Dolls | 实体娃娃,sdl-018,197
,simple,SDL-019,Half Body Doll | 半身娃娃,1,0,visible,Half body sex doll hip | 半身娃娃臀部,Realistic hip vagina anal,taxable,,1,99,0,0,0.20,249.00,349.00,Sex Dolls | 实体娃娃,sdl-019,198
,simple,SDL-020,Custom Order Doll | 定制娃娃,1,0,visible,Fully customizable sex doll | 完全定制实体娃娃,Choose appearance features,taxable,,1,99,0,0,0.20,2499.00,3499.00,Sex Dolls | 实体娃娃,sdl-020,199
